source_url,anchor,destination,relation,target_status,position,analytics_event,source_state
https://atelierdeconsultanta.ro/digitalizare-imm,Verifică încadrarea proiectului de digitalizare,https://atelierdeconsultanta.ro/contact?program=digitalizare-imm,conversion,200_SELF_CANONICAL,main > program-contextual-links > item 4 (link 4/4),cta_click,pending_validation
https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2,revino la programele Regional și ADR,https://atelierdeconsultanta.ro/fonduri-regionale,parent,200_SELF_CANONICAL,main > program-contextual-links > item 1 (link 10/13),—,public
https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2,verifică criteriile inițiale de eligibilitate,https://atelierdeconsultanta.ro/verificare-eligibilitate-fonduri-europene,instrument,200_SELF_CANONICAL,main > program-contextual-links > item 2 (link 11/13),—,public
https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2,compară traseele de finanțare din Nord-Est,https://atelierdeconsultanta.ro/fonduri-europene-nord-est,comparison,200_SELF_CANONICAL,main > program-contextual-links > item 3 (link 12/13),—,public
https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2,Verifică încadrarea în Apelul 2 pentru microîntreprinderi,https://atelierdeconsultanta.ro/contact?program=modernizare-microintreprinderi-ne-2,conversion,200_SELF_CANONICAL,main > program-contextual-links > item 4 (link 13/13),cta_click,public
https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,revino la programele pentru energie,https://atelierdeconsultanta.ro/finantari-panouri-fotovoltaice,parent,200_SELF_CANONICAL,main > program-contextual-links > item 1 (link 8/11),—,public
https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,verifică criteriile inițiale de eligibilitate,https://atelierdeconsultanta.ro/verificare-eligibilitate-fonduri-europene,instrument,200_SELF_CANONICAL,main > program-contextual-links > item 2 (link 9/11),—,public
https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,calculează prudent contribuția proprie,https://atelierdeconsultanta.ro/cum-se-calculeaza-cofinantarea-fonduri-europene,comparison,200_SELF_CANONICAL,main > program-contextual-links > item 3 (link 10/11),—,public
https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,Verifică proiectul de energie pentru autoconsum,https://atelierdeconsultanta.ro/contact?program=fondul-modernizare-autoconsum,conversion,200_SELF_CANONICAL,main > program-contextual-links > item 4 (link 11/11),cta_click,public
https://atelierdeconsultanta.ro/fondul-modernizare-energie-regenerabila-2026,revino la programele pentru energie,https://atelierdeconsultanta.ro/finantari-panouri-fotovoltaice,parent,200_SELF_CANONICAL,main > program-contextual-links > item 1 (link 8/11),—,public
https://atelierdeconsultanta.ro/fondul-modernizare-energie-regenerabila-2026,verifică criteriile inițiale de eligibilitate,https://atelierdeconsultanta.ro/verificare-eligibilitate-fonduri-europene,instrument,200_SELF_CANONICAL,main > program-contextual-links > item 2 (link 9/11),—,public
https://atelierdeconsultanta.ro/fondul-modernizare-energie-regenerabila-2026,calculează prudent contribuția proprie,https://atelierdeconsultanta.ro/cum-se-calculeaza-cofinantarea-fonduri-europene,comparison,200_SELF_CANONICAL,main > program-contextual-links > item 3 (link 10/11),—,public
https://atelierdeconsultanta.ro/fondul-modernizare-energie-regenerabila-2026,Verifică proiectul de producție regenerabilă,https://atelierdeconsultanta.ro/contact?program=fondul-modernizare-regenerabile,conversion,200_SELF_CANONICAL,main > program-contextual-links > item 4 (link 11/11),cta_click,public
